"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","D/HEO FS Economic Assistant (National)","28131","39918","Policy Adviser","1.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","D/HEO FS HEO (D) (London Inner)","28131","39918","Policy Adviser","1.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","D/HEO FS HEO (D) (National)","28131","39918","Policy Adviser","4.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","D/HEO Higher Scientific Officer (London Inner)","32431","40678","Policy Adviser","1.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","D/HEO Research Officer (National)","28307","32239","Policy Adviser","0.81","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","E/SEO (London Inner)","36852","42841","Policy Adviser","9.70","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","E/SEO (National)","32566","38700","Policy Adviser","10.34","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","E/SEO Senior Research Officer (London Inner)","36852","47840","Policy Adviser","2.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","E/SEO Senior Research Officer (National)","32566","43608","Policy Adviser","4.68","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","E/SEO Senior Scientific Officer (London Inner)","36852","47815","Policy Adviser","1.80","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","E/SEO Senior Scientific Officer (National)","32566","43583","Policy Adviser","4.40","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","E/SEO Senior Statistical Officer (National)","32566","38730","Policy Adviser","1.80","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","F/G7 (London Inner)","50476","61530","Policy Adviser","8.40","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","F/G7 (National)","45905","56707","Policy Adviser","8.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","F/G7 Principal Economist (London Inner)","53419","64888","Policy Adviser","1.97","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","F/G7 Principal Economist (National)","48677","59848","Policy Adviser","5.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","F/G7 Principal Research Officer (London Inner)","53419","64888","Policy Adviser","2.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","F/G7 Principal Research Officer (National)","48677","59848","Policy Adviser","5.73","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","F/G7 Principal Scientific Officer (London Inner)","53424","64893","Policy Adviser","1.80","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","F/G7 Principal Scientific Officer (National)","48682","59853","Policy Adviser","1.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","F/G7 Principal Statistician (London Inner)","53424","64893","Policy Adviser","5.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","F/G7 Principal Statistician (National)","48682","59853","Policy Adviser","2.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","G/G6 (London Inner)","61852","74957","Policy Adviser","4.28","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","G/G6 (National)","56706","69407","Policy Adviser","0.97","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","G/G6 Senior Principal Economist (London Inner)","67810","77491","Policy Adviser","2.70","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","G/G6 Senior Principal Scientific Officer (London Inner)","67740","77421","Policy Adviser","1.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP169","G/G6 Senior Principal Scientific Officer (National)","61887","71750","Policy Adviser","1.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","B/AO (London Inner)","22649","23457","Business Support Manager","3.00","Knowledge and Information Management (KIM)"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","B/AO (National)","18478","19983","Business Support Manager","2.42","Knowledge and Information Management (KIM)"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","B/AO Personal Secretary (London Inner)","22649","23457","Business Support Manager","0.83","Knowledge and Information Management (KIM)"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","C/EO (London Inner)","27485","30195","Aide","5.43","Knowledge and Information Management (KIM)"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","C/EO (London Inner)","27485","30195","Business Support Manager","6.56","Knowledge and Information Management (KIM)"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","C/EO (National)","24476","26061","Business Support Manager","1.00","Knowledge and Information Management (KIM)"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","C/EO (National)","24476","26061","Strategy","2.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","C/EO Legacy (London Inner)","25056","29438","Strategy","1.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","C/EO Statistical Officer (National)","24476","26061","Strategy","1.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","D/HEO (London Inner)","32430","36478","Business Support Manager","2.67","Knowledge and Information Management (KIM)"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","D/HEO (London Inner)","32430","36478","Strategy","5.09","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","D/HEO (National)","28307","32239","Business Manager","1.00","Knowledge and Information Management (KIM)"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","D/HEO (National)","28307","32239","Strategy","2.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","D/HEO FS Economic Assistant (London Inner)","28131","39918","Strategy","1.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","D/HEO FS Economic Assistant (National)","28131","39918","Strategy","1.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","D/HEO FS HEO (D) (London Inner)","28131","39918","Strategy","2.97","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","D/HEO FS HEO (D) (National)","28131","39918","Strategy","1.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","D/HEO Higher Statistical Officer (National)","28307","32239","Strategy","1.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","D/HEO Legacy (London Inner)","29563","35086","Business Manager","1.00","Knowledge and Information Management (KIM)"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","D/HEO Research Officer (National)","28307","32239","Strategy","1.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","E/SEO (London Inner)","36852","42841","Business Manager","3.00","Knowledge and Information Management (KIM)"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","E/SEO (London Inner)","36852","42841","Strategy","3.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","E/SEO (National)","32566","38700","Strategy","13.77","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","E/SEO Senior Research Officer (London Inner)","36852","47840","Strategy","4.80","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","E/SEO Senior Research Officer (National)","32566","43608","Strategy","1.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","F/G7 (London Inner)","50476","61530","Strategy","10.89","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","F/G7 (National)","45905","56707","Strategy","12.18","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","F/G7 Principal Economist (London Inner)","53419","64888","Strategy","2.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","F/G7 Principal Psychologist (National)","46455","56792","Strategy","0.60","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","F/G7 Principal Research Officer (London Inner)","53419","64888","Strategy","1.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","F/G7 Principal Research Officer (National)","48677","59848","Strategy","3.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","F/G7 Principal Scientific Officer (London Inner)","53424","64893","Strategy","1.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","F/G7 Principal Statistician (London Inner)","53424","64893","Strategy","1.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","G/G6 (London Inner)","61852","74957","Strategy","3.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","G/G6 (National)","56706","69407","Strategy","2.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","G/G6 Senior Principal Economist (London Inner)","67810","77491","Strategy","2.60","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP436","G/G6 Senior Principal Research Officer (London Inner)","67755","77436","Strategy","1.83","Other"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","B/AO (London Inner)","22649","23457","Analyst","2.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","B/AO (National)","18478","19983","Analyst","1.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","C/EO (London Inner)","27485","30195","Policy Adviser","4.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","C/EO (National)","24476","26061","Business Support Manager","1.00","Knowledge and Information Management (KIM)"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","C/EO Scientific Officer (London Inner)","28087","34777","Analyst","1.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","C/EO Scientific Officer (National)","24476","31267","Analyst","1.60","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","C/EO Statistical Officer (National)","24476","26061","Analyst","2.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","D/HEO (London Inner)","32430","36478","Analyst","1.90","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","D/HEO (National)","28307","32239","Analyst","2.92","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","D/HEO FS Economic Assistant (London Inner)","28131","39918","Analyst","2.80","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","D/HEO FS HEO (D) (London Inner)","28131","39918","Analyst","1.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","D/HEO Higher Scientific Officer (National)","28307","36623","Analyst","1.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","D/HEO Higher Statistical Officer (London Inner)","32430","36478","Analyst","3.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","D/HEO Higher Statistical Officer (National)","28307","32239","Analyst","2.86","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","E/SEO Senior Research Officer (London Inner)","36852","47840","Analyst","1.90","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","E/SEO Senior Research Officer (National)","32566","43608","Analyst","1.61","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","E/SEO Senior Scientific Officer (National)","32566","43583","Analyst","1.40","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","E/SEO Senior Statistical Officer (National)","32566","38730","Analyst","1.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","F/G7 (London Inner)","50476","61530","Analyst","3.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","F/G7 (National)","45905","56707","Analyst","1.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","F/G7 Principal Economist (London Inner)","53419","64888","Analyst","0.67","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","F/G7 Principal Research Officer (National)","48677","59848","Analyst","0.74","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","F/G7 Principal Scientific Officer (London Inner)","53424","64893","Analyst","1.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","F/G7 Principal Scientific Officer (National)","48682","59853","Analyst","1.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","F/G7 Principal Statistician (London Inner)","53424","64893","Analyst","2.67","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","F/G7 Principal Statistician (National)","48682","59853","Analyst","3.92","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","G/G6 (London Inner)","61852","74957","Analyst","0.83","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","G/G6 Senior Principal Economist (London Inner)","67810","77491","Analyst","0.67","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","G/G6 Senior Principal Scientific Officer (London Inner)","67740","77421","Analyst","1.00","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","G/G6 Senior Principal Scientific Officer (National)","61887","71750","Analyst","0.60","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","DWP152","G/G6 Senior Principal Statistician (National)","61912","71775","Analyst","0.65","Policy"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","B/AO (London Inner)","22649","23457","Directorate Support","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","B/AO (London Inner)","22649","23457","Operational Researcher","1.00","Operational Research"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","C/EO (London Inner)","27485","30195","Directorate Support","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","C/EO (National)","24476","26061","Directorate Support","6.57","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","C/EO (National)","24476","26061","Operational Manager","4.92","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","C/EO Scientific Officer (National)","24476","31267","Operational Researcher","1.00","Operational Research"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","D/HEO (London Inner)","32430","36478","Directorate Support","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","D/HEO (London Inner)","32430","36478","Operational Manager","1.94","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","D/HEO (London Other)","31079","35865","Operational Manager","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","D/HEO (National)","28307","32239","Operational Manager","18.59","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","D/HEO (National)","28307","32239","Operational Researcher","1.00","Operational Research"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","D/HEO FS Economic Assistant (National)","28131","39918","Operational Researcher","1.00","Operational Research"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","D/HEO FS HEO (D) (London Inner)","28131","39918","Operational Researcher","1.00","Operational Research"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","D/HEO FS HEO (D) (National)","28131","39918","Operational Researcher","1.00","Operational Research"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","D/HEO Higher Scientific Officer (London Inner)","32431","40678","Operational Researcher","2.00","Operational Research"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","D/HEO Higher Scientific Officer (National)","28307","36623","Operational Researcher","2.00","Operational Research"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","D/HEO Higher Statistical Officer (National)","28307","32239","Operational Researcher","3.00","Operational Research"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","E/SEO (London Inner)","36852","42841","Operational Manager","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","E/SEO (National)","32566","38700","Operational Manager","8.43","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","E/SEO (National)","32566","38700","Operational Researcher","1.00","Operational Research"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","E/SEO Senior Research Officer (National)","32566","43608","Senior Operational Researcher","1.68","Operational Research"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","E/SEO Senior Scientific Officer (National)","32566","43583","Senior Statistician","1.89","Operational Research"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","E/SEO Senior Statistical Officer (London Inner)","36852","42871","Senior Statistician","1.00","Operational Research"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","E/SEO Senior Statistical Officer (National)","32566","38730","Senior Statistician","2.00","Operational Research"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","F/G7 (London Inner)","50476","61530","Operational Manager","0.89","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","F/G7 (National)","45905","56707","Operational Manager","5.92","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","F/G7 Accountant (Qualified) (National)","49248","60257","Operational Manager","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","F/G7 Principal Research Officer (National)","48677","59848","Operational Manager","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","F/G7 Principal Research Officer (National)","48677","59848","Senior Operational Researcher","0.60","Operational Research"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","F/G7 Principal Scientific Officer (National)","48682","59853","Senior Statistician","1.00","Operational Research"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","F/G7 Principal Statistician (London Inner)","53424","64893","Senior Statistician","0.90","Operational Research"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","F/G7 Principal Statistician (National)","48682","59853","Senior Statistician","3.41","Operational Research"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","G/G6 (National)","56706","69407","Senior Operational Manager","4.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","G/G6 Senior Principal Scientific Officer (London Inner)","67740","77421","Senior Operational Researcher","1.00","Operational Research"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Planning and Performance","DWP348","G/G6 Senior Principal Scientific Officer (National)","61887","71750","Senior Operational Researcher","1.00","Operational Research"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Pensions","DWP14","A/AA (London Other)","19635","19635","Operations Support Officer","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Pensions","DWP14","A/AA (National)","17758","17758","Operations Support Officer","18.72","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Pensions","DWP14","A/AA Legacy (National)","16484","16484","Operations Support Officer","6.43","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Pensions","DWP14","A/AA SGB2 (National)","17758","17758","Operations Support Officer","0.54","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Pensions","DWP14","B/AO (London Other)","21394","23344","Operations Support Officer","62.92","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Pensions","DWP14","B/AO (National)","18478","19983","Operations Support Officer","3223.69","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Pensions","DWP14","B/AO Legacy (London Other)","19503","22302","Operations Support Officer","3.46","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Pensions","DWP14","B/AO Legacy (National)","16845","19583","Operations Support Officer","697.45","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Pensions","DWP14","C/EO (London Other)","25914","29580","Operational Manager","12.71","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Pensions","DWP14","C/EO (National)","24476","26061","Operational Manager","669.05","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Pensions","DWP14","C/EO Legacy (National)","22312","25358","Operational Manager","103.49","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Pensions","DWP14","D/HEO (London Other)","31079","35865","Operational Manager","2.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Pensions","DWP14","D/HEO (National)","28307","32239","Operational Manager","93.92","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Pensions","DWP14","D/HEO FS HEO (D) (National)","28131","39918","Operational Manager","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Pensions","DWP14","D/HEO Legacy (National)","25805","31186","Operational Manager","0.65","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Pensions","DWP14","E/SEO (London Other)","35952","41594","Senior Operational Manager","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Pensions","DWP14","E/SEO (National)","32566","38700","Senior Operational Manager","27.59","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Pensions","DWP14","F/G7 (National)","45905","56707","Senior Operational Manager","9.80","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Pensions","DWP240","B/AO (National)","18478","19983","Operations Support Officer","3.94","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Pensions","DWP240","C/EO (National)","24476","26061","Operational Manager","39.10","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Pensions","DWP240","C/EO Legacy (National)","22312","25358","Operational Manager","6.10","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Pensions","DWP240","D/HEO (National)","28307","32239","Operational Manager","2.71","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Pensions","DWP240","E/SEO (National)","32566","38700","Senior Operational Manager","1.65","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","B/AO (London Inner)","22649","23457","Statistical Support Officer","1.00","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","B/AO (National)","18478","19983","Statistical Support Officer","2.76","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","C/EO (London Inner)","27485","30195","Statistical Support Officer","1.00","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","C/EO (London Other)","25914","29580","Statistical Support Officer","1.87","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","C/EO (National)","24476","26061","Statistical Support Officer","3.66","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","C/EO Scientific Officer (National)","24476","31267","Statistician","1.65","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","C/EO Statistical Officer (National)","24476","26061","Statistician","2.86","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","D/HEO (National)","28307","32239","Statistician","2.00","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","D/HEO FS Economic Assistant (London Inner)","28131","39918","Economist","1.00","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","D/HEO FS Economic Assistant (National)","28131","39918","Economist","2.00","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","D/HEO FS HEO (D) (London Inner)","28131","39918","Statistician","2.00","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","D/HEO FS HEO (D) (National)","28131","39918","Statistician","0.59","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","D/HEO Higher Scientific Officer (London Inner)","32431","40678","Statistician","2.00","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","D/HEO Higher Scientific Officer (National)","28307","36623","Statistician","1.00","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","D/HEO Higher Statistical Officer (National)","28307","32239","Statistician","2.00","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","E/SEO (National)","32566","38700","Senior Statistician","2.00","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","E/SEO Senior Research Officer (London Inner)","36852","47840","Senior Statistician","1.00","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","E/SEO Senior Research Officer (National)","32566","43608","Senior Statistician","0.65","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","DWP465","E/SEO Senior Scientific Officer (National)","32566","43583","Senior Statistician","3.00","Statisticians"
