secs,dist
873,8355.18606456357
874,8349.25755233201
875,8342.95445026152
876,8337.51691987556
877,8332.51470861654
878,8327.29108443766
879,8321.94571992325
880,8316.5404219703
881,8310.96212044181
882,8304.93974360941
883,8299.02161870624
884,8293.28177481642
885,8287.43518895882
886,8281.96643031684
887,8276.07554186188
888,8269.68663633944
889,8262.88800523493
890,8256.58893824256
891,8249.70777280827
892,8243.41846725698
893,8238.35505461933
894,8232.21140724534
895,8226.49679832967
896,8219.28676415741
897,8212.24212173119
898,8205.52439904938
899,8197.62374203006
900,8189.68080609314
901,8182.44133603891
902,8174.4794310728
903,8166.36760711822
904,8158.92522299027
905,8151.3167679973
906,8144.283705563
907,8136.58945642397
908,8128.4396585838
909,8120.72145578591
910,8112.97205298156
911,8105.58356745548
912,8097.12516566272
913,8088.96764262833
914,8080.49409220445
915,8072.47076451013
916,8064.3330010201
917,8055.75179621289
918,8047.58961708621
919,8040.62814266715
920,8033.87511364569
921,8027.92555034461
922,8021.73577128631
923,8015.85685877199
924,8010.56058266981
925,8005.02773291635
926,7998.93727713314
927,7992.97101615526
928,7987.22288168034
929,7981.47577226773
930,7975.32199606009
931,7969.16717249334
932,7962.71289646351
933,7957.04844329627
934,7951.33832018534
935,7946.63302310739
936,7941.98914006123
937,7937.98400616119
938,7933.86685732063
939,7930.31470010847
940,7926.67511053141
941,7923.9347228175
942,7921.63019551291
943,7919.6907062777
944,7918.16745438089
945,7916.48509944021
946,7913.74081973489
947,7911.05413691867
948,7908.57557800641
949,7905.72619058928
950,7903.05660361349
951,7900.98686199634
1004,7898.75837694295
1005,7896.61709005624
1006,7894.08426141039
1007,7890.71655473789
1008,7887.0499137598
1009,7883.36563841656
1010,7879.66295531458
1011,7875.6805347708
1012,7871.72780789318
1013,7867.11305036637
1014,7862.76243843493
1015,7857.47967081267
1016,7852.9359877058
1017,7847.71589991047
1018,7842.13084767455
1019,7837.02511030079
1020,7831.24264811706
1021,7825.36890058365
1022,7819.47055311545
1023,7812.97813810765
1024,7806.48331015713
1025,7799.92026753886
1026,7793.19561510447
1027,7786.23480365339
1028,7779.3292568165
1029,7772.2771599938
1030,7765.44763575607
1031,7758.72647995654
1032,7751.86537786541
1033,7744.43579016689
1034,7737.16865437121
1035,7730.64263813045
1036,7723.585436278
1037,7716.81005819501
1038,7710.45303081572
1039,7703.95304675273
1040,7697.00619826116
1041,7690.16144462907
1042,7683.85759648554
1043,7677.43810730972
1044,7670.97219893416
1045,7664.75553970448
1046,7658.26108557313
1047,7651.83034232144
1048,7645.05935533971
1049,7638.95314555807
1050,7632.68743418191
1051,7626.69005849376
1052,7620.87501394214
1053,7615.27685844646
1054,7609.48264472078
1055,7603.87900452586
1056,7597.67778393103
1057,7591.33083967773
1058,7584.8063519156
1059,7578.72075419785
1060,7572.81473917706
1061,7566.89623456731
1062,7561.14696432068
1063,7555.8744637336
1064,7550.21940195592
1065,7544.53812264228
1066,7538.71961328154
1067,7533.55644157852
1068,7528.66961144007
1069,7523.63016361711
1070,7518.93243299839
1071,7514.02508880309
1072,7509.5399000866
1073,7505.13519381447
1074,7500.73470976366
1075,7496.1459736889
1076,7491.91316385135
1077,7487.99231090052
1078,7483.81105451846
1079,7480.18451980913
1080,7476.44224546828
1081,7472.47483416765
1082,7468.53220205982
1083,7464.85194459965
1084,7461.14783936924
1085,7457.55232382327
1086,7453.96641609389
1087,7450.04014895404
1088,7446.32342748861
1089,7442.77151565341
1090,7439.12565309223
1091,7435.6160657921
1092,7431.84524213508
1093,7427.75046158994
1094,7423.80611449906
1095,7420.01482216386
1096,7416.21266662246
1097,7412.36511229606
1098,7408.63511338391
1099,7405.2152912542
1100,7401.69941892046
1101,7397.98398086306
1102,7394.28358753311
1103,7390.4554829097
1104,7386.59573810676
1105,7382.71728946847
1106,7378.81289408657
1107,7375.16700530335
1108,7371.72822867309
1109,7367.75843285844
1110,7364.13434517684
1111,7360.39893262445
1112,7356.86391489329
1113,7353.00414877527
1114,7349.32137564402
1115,7346.1346169887
1116,7342.67592482413
1117,7339.36925033927
1118,7335.81054957971
1119,7331.88855921361
1120,7327.9210543865
1121,7323.98944202814
1122,7320.0414987553
1123,7316.47414241629
1124,7312.67501231355
1125,7308.82687046757
1126,7305.25129267467
1127,7301.55763160154
1128,7297.97222106772
1129,7294.60383694442
1130,7290.99313251793
1131,7287.32581700934
1132,7283.23979649411
1133,7278.9853799685
1134,7274.82107985693
1135,7270.94411938214
1136,7267.11283598667
1137,7263.374199149
1138,7259.52450409475
1139,7255.71501743457
1140,7252.01538533719
1141,7248.27802867415
1142,7244.53610376711
1143,7240.9601384885
1144,7237.29578914422
1145,7233.29003760945
1146,7229.41054362136
1147,7225.56505664223
1148,7221.65219269113
