Member_of_the_58th_Parliament_of_the_United_Kingdom,Member_of_the_58th_Parliament_of_the_United_KingdomLabel,date_of_birth
http://www.wikidata.org/entity/Q262040,Sammy Wilson,1953-04-04T00:00:00Z
http://www.wikidata.org/entity/Q262409,Gavin Williamson,1976-06-25T00:00:00Z
http://www.wikidata.org/entity/Q262539,Charles Walker,1967-09-11T00:00:00Z
http://www.wikidata.org/entity/Q262742,Hilary Benn,1953-11-26T00:00:00Z
http://www.wikidata.org/entity/Q263076,Robin Walker,1978-04-12T00:00:00Z
http://www.wikidata.org/entity/Q263166,Ben Wallace,1970-05-15T00:00:00Z
http://www.wikidata.org/entity/Q263243,Paul Beresford,1946-04-06T00:00:00Z
http://www.wikidata.org/entity/Q263350,Jake Berry,1978-12-29T00:00:00Z
http://www.wikidata.org/entity/Q263508,Clive Betts,1950-01-13T00:00:00Z
http://www.wikidata.org/entity/Q263875,Bob Blackman,1956-04-26T00:00:00Z
http://www.wikidata.org/entity/Q264132,Paul Blomfield,1953-08-25T00:00:00Z
http://www.wikidata.org/entity/Q264305,Crispin Blunt,1960-07-15T00:00:00Z
http://www.wikidata.org/entity/Q264374,Heather Wheeler,1959-05-14T00:00:00Z
http://www.wikidata.org/entity/Q264426,Peter Bone,1952-10-19T00:00:00Z
http://www.wikidata.org/entity/Q264477,Peter Bottomley,1944-07-30T00:00:00Z
http://www.wikidata.org/entity/Q264560,Karen Bradley,1970-03-12T00:00:00Z
http://www.wikidata.org/entity/Q264585,Alan Whitehead,1950-09-15T00:00:00Z
http://www.wikidata.org/entity/Q264618,Ben Bradshaw,1960-08-30T00:00:00Z
http://www.wikidata.org/entity/Q264636,Craig Whittaker,1962-08-30T00:00:00Z
http://www.wikidata.org/entity/Q264662,Graham Brady,1967-05-20T00:00:00Z
http://www.wikidata.org/entity/Q264684,John Whittingdale,1959-10-16T00:00:00Z
http://www.wikidata.org/entity/Q264964,Kevin Brennan,1959-10-16T00:00:00Z
http://www.wikidata.org/entity/Q265028,Andrew Bridgen,1964-10-28T00:00:00Z
http://www.wikidata.org/entity/Q265088,Steve Brine,1974-01-28T00:00:00Z
http://www.wikidata.org/entity/Q265140,James Brokenshire,1968-01-07T00:00:00Z
http://www.wikidata.org/entity/Q265870,Lyn Brown,1960-04-13T00:00:00Z
http://www.wikidata.org/entity/Q265900,Bill Wiggin,1966-06-04T00:00:00Z
http://www.wikidata.org/entity/Q265935,Nick Brown,1950-06-13T00:00:00Z
http://www.wikidata.org/entity/Q266078,Fiona Bruce,1957-03-26T00:00:00Z
http://www.wikidata.org/entity/Q266146,Chris Bryant,1962-01-11T00:00:00Z
http://www.wikidata.org/entity/Q266189,Hywel Williams,1953-05-14T00:00:00Z
http://www.wikidata.org/entity/Q266238,Karen Buck,1958-08-30T00:00:00Z
http://www.wikidata.org/entity/Q266793,Theresa Villiers,1968-03-05T00:00:00Z
http://www.wikidata.org/entity/Q266905,Martin Vickers,1950-09-13T00:00:00Z
